id,name,price_min,subfamily_id,quality
1,PIMIENTO CALIFORNIA ROJO,,1,I
3,PIMIENTO CALIFORNIA AMARILLO,,1,I
5,PIMIENTO CALIFORNIA VERDE,,1,I
7,PIMIENTO CALIFORNIA NARANJA,,1,I
8,PIMIENTO LAMUYO VERDE,,3,I
9,PIMIENTO LAMUYO ROJO,,3,I
12,PIMIENTO ITALIANO VERDE,,2,I
14,PIMIENTO ITALIANO ROJO,,2,I
18,BERENJENAS ALARGADAS,,6,I
19,BERENJENAS ALARGADAS,,21,II
20,MELON PIEL DE SAPO,,7,I
22,MELON CANTALOUP,,7,I
24,MELON AMARILLO,,7,I
26,MELON GALIA,,7,I
28,MELON GALIA LONG-LIFE,,7,I
29,MELON BLANCO,,7,I
30,BERENJENAS RAYADAS,,6,I
31,BERENJENAS RAYADAS,,21,II
32,BERENJENAS REDONDAS,,6,I
33,BERENJENAS REDONDAS,,21,II
34,CALABACIN,,8,I
36,CALABACIN GORDO,,8,I
39,PIMIENTO LAMUYO AVENADO,,3,I
40,PIMIENTO ITALIANO PALERMO,,2,I
42,PEPINO ALMERIA,,9,I
44,PEPINO CORTO,,9,I
46,PEPINO FRANCES,,9,I
48,PEPINO ESPAÑOL,,9,I
49,SANDIA BLANCA SIN SEMILLA,,10,I
50,SANDIA MICROSEMILLAS,,10,I
51,SANDIA ROJA CON PEPITAS,,10,I
52,SANDIA ROJA SIN PEPITA,,10,I
54,PIMIENTOS PICANTES ROJOS,,14,I
55,PIMIENTOS PICANTES VERDES,,14,I
56,PIMIENTO PICANTE HABANERO,,14,I
66,TOMATE PERA EN RAMOS,,15,I
68,JUDIA PLANA GARRAFON,,17,I
69,JUDIA PLANA HELDA,,17,I
70,JUDIA PLANA PERONA ROJA,,17,I
71,JUDIA PLANA RASTRA,,17,I
72,JUDIA PLANA SEMI,,17,I
73,JUDIA REDONDA EMERITE AMAR.,,18,I
74,JUDIA REDONDA EMERITE,,18,I
75,JUDIA REDONDA STRIKE,,18,I
78,JUDIA SABINAL,,17,I
79,TOMATE OBLONGO PERA CANILES,,15,I
80,TOMATE OBLONGO PERA,,15,I
81,TOMATE OBLONGO PERA RAMO,,15,I
82,TOMATE REDONDO LISO DANIELA,,15,I
83,TOMATE REDONDO LISO,,15,I
84,TOMATE REDONDO LISO RAMO,,15,I
85,TOMATE REDONDO LISO DANIELA,,29,II
86,TOMATE REDONDO LISO RAMO,,29,II
87,PIMIENTOS DE PIQUILLO,,24,I
88,PIMIENTOS DE PADRON VERDE,,23,I
89,PIMIENTO CALIFORNIA AMARILO,,22,II
90,PIMIENTO CALIFORNIA,,22,AVENADO
91,PIMIENTO CALIFORNIA ROJO,,22,II
92,PIMIENTO CALIFORNIA VERDE,,22,II
93,PIMIENTOS ITALIANOS,,22,II
94,PIMIENTO LAMUYO VERDE,,22,II
95,PIMIENTO LAMUYO ROJO,,22,II
96,PIMIENTO LAMULLO AMARILLO,,3,I
97,PIMIENTO LAMUYO AMARILLO,,22,II
98,PIMIENTO LAMUYO,,22,AVENADO
99,PEPINO ALMERIA,,27,II
100,PEPINO FRANCES,,27,II
101,PEPINO CORTO,,27,II
102,SANDIAS ROJA,,28,II
103,MELON PIEL DE SAPO,,26,II
104,MELON CANTALOUP,,26,II
105,MELON GALIA,,26,II
106,MELON AMARILLO,,26,II
107,CALABACIN BLANCO,,8,I
108,CALABACIN REDONDO,,8,I
109,CALABACIN,,25,II
